8	11
8	3
5	45
8	45
6	7
16	7
5	23
11	23
6	267
16	267
5	67
6	67
4	7
8	7
7	1
5	8
5	21
12	21
14	21
5	18
8	18
17	18
8	6
5	19
16	17
6	20
8	20
16	20
5	15
1	429
15	429
17	429
15	38
16	38
8	12
14	12
8	6
13	6
14	6
6	6
8	6
16	6
8	9
1	30
15	30
14	6
16	39
5	26
3	20
4	20
5	20
14	20
5	106
8	30
8	39
1	25
8	4
8	12
5	14
6	32
8	32
8	8
1	48
8	13
16	13
5	115
11	115
5	18
1	22
8	22
7	17
8	6
5	8
6	1
8	1
5	6
8	6
8	8
1	18
2	18
14	18
8	187
13	187
3	26
15	26
5	6
8	6
5	5
11	7
1	36
6	19
5	7
18	6
16	19
5	12
8	244
14	244
1	6
5	8
8	9
16	7
5	11
8	8
8	3
8	4
5	23
14	23
5	4
14	4
8	97
8	4
8	4
14	8
8	15
8	7
8	19
8	12
8	33
8	10
5	10
14	10
1	413
6	413
8	413
5	7
5	7
5	5
8	5
8	15
16	15
15	11
16	11
16	4
8	8
1	19
6	19
8	16
12	16
2	9
4	9
1	65
16	65
6	16
8	13
8	9
5	19
8	26
13	26
8	15
5	17
12	17
14	17
5	6
5	7
14	7
6	129
8	129
14	129
16	129
8	2
14	2
5	15
4	3
9	3
2	3
4	3
9	3
15	3
7	7
5	7
8	7
5	20
8	20
8	12
14	12
5	9
12	9
8	8
14	8
5	184
8	509
15	509
4	162
5	162
5	73
1	127
13	127
15	127
16	127
4	43
5	43
8	66
1	19
15	101
16	101
1	227
16	227
1	35
2	35
0	9
8	255
14	255
5	315
1	57
8	136
15	136
16	136
1	211
2	211
15	211
17	211
8	198
1	223
6	223
16	223
5	190
14	190
8	268
14	268
8	298
14	298
8	71
8	60
14	60
8	28
1	276
8	276
16	276
8	85
14	85
1	146
16	146
8	232
8	177
14	177
5	193
14	193
8	162
8	481
14	481
17	481
8	78
11	478
16	478
8	259
12	259
1	114
2	114
5	114
6	114
5	96
13	127
16	127
8	114
6	147
8	147
5	485
1	77
16	77
8	6
8	50
1	194
15	194
16	194
6	73
8	73
10	73
16	90
8	37
1	431
16	431
5	230
6	297
10	297
13	297
16	297
8	134
2	149
4	149
8	87
8	96
14	96
6	188
11	188
13	188
16	188
4	30
8	30
9	30
6	28
8	154
16	154
17	154
8	145
8	75
14	75
16	75
5	80
6	80
8	80
13	80
1	350
8	350
14	350
1	5
4	5
8	160
16	160
5	112
8	112
8	102
8	298
17	298
5	168
12	168
14	168
7	81
7	20
5	169
13	218
16	218
1	240
16	240
13	125
8	128
16	128
1	175
8	175
17	175
6	175
8	175
13	175
1	295
13	295
14	295
16	295
6	45
8	45
16	45
1	97
14	97
16	97
8	41
2	113
16	113
6	143
8	143
16	143
13	251
16	251
3	452
4	452
5	452
8	89
17	89
6	508
8	508
16	508
5	10
18	10
5	17
5	8
4	8
5	8
13	8
8	9
18	9
8	22
8	23
15	23
5	47
8	37
8	64
1	73
2	73
3	73
11	73
15	73
8	44
6	93
5	100
8	100
1	38
2	38
16	38
5	98
4	12
8	12
1	137
2	137
16	137
8	50
8	32
1	31
16	31
3	54
4	54
13	35
16	35
8	38
7	32
5	31
14	15
1	44
8	44
16	44
5	4
8	4
1	3
5	148
14	148
5	14
3	15
4	15
12	15
5	20
2	7
4	7
4	16
5	16
2	32
4	32
1	27
2	27
5	68
5	24
9	24
5	24
12	24
14	24
16	17
8	90
5	5
5	25
14	25
5	62
14	62
13	28
16	28
5	8
5	40
8	40
8	25
16	46
5	134
5	73
14	73
5	25
5	74
8	43
14	43
5	41
5	25
11	25
8	24
5	23
8	10
11	10
5	22
2	15
8	15
5	35
8	71
16	71
2	39
4	39
5	29
8	29
8	12
4	41
8	41
6	4
10	4
7	53
17	53
3	16
4	16
5	44
8	12
6	18
8	18
16	18
8	42
5	27
5	16
5	7
14	7
16	66
5	77
8	77
8	7
1	12
2	12
3	12
4	12
9	12
16	8
3	22
4	22
5	45
12	45
5	65
5	2
6	8
8	8
6	6
16	6
7	21
8	11
14	11
8	21
1	10
1	13
1	38
14	38
16	38
5	130
15	130
16	37
2	43
3	43
4	43
12	43
5	12
5	23
5	12
5	29
14	3
8	18
5	42
8	13
6	236
16	236
1	31
2	31
5	31
17	31
5	8
8	8
14	8
8	74
13	74
5	7
14	7
5	19
8	19
5	4
6	4
8	4
1	18
2	18
16	18
6	4
8	4
8	18
8	5
8	28
16	28
5	272
14	272
1	41
5	41
12	41
15	41
8	7
8	15
8	22
5	10
5	29
8	29
14	29
2	13
8	19
5	47
8	59
14	59
2	20
4	20
5	17
8	21
12	21
6	1
8	1
8	3
14	12
17	12
16	4
2	32
8	32
8	11
7	13
8	28
13	28
14	28
8	9
7	1
16	13
8	32
14	32
2	30
4	30
9	30
8	38
8	46
12	46
8	29
8	29
14	29
1	5
5	5
6	5
8	5
1	33
6	33
16	33
3	67
5	17
7	9
7	44
6	15
16	15
8	3
8	9
8	3
8	21
8	9
8	26
7	15
8	9
6	7
14	28
17	28
8	19
12	19
15	12
5	3
14	3
6	1
8	1
11	25
8	4
13	11
15	11
5	125
8	26
14	26
1	13
8	13
5	5
8	25
4	6
5	14
8	14
5	12
5	11
8	22
8	10
1	378
2	378
16	378
5	27
8	27
8	14
5	15
8	7
14	7
8	8
16	8
14	5
8	22
17	22
5	7
5	19
